symbol,company_name,yahoo_ticker,industry,sector,trailing_pe,forward_pe,peg_ratio,price_to_book,debt_to_equity,return_on_equity,return_on_assets,profit_margins,market_cap,promoter_holding_proxy_pct,industry_median_pe,company_news_sentiment,ceo_commentary_sentiment,pe_assessment,score,reason_summary,return_potential_flag
ADFFOODS,ADF Foods Limited,ADFFOODS.NS,Packaged Foods,Consumer Defensive,30.943987,,,4.7061143,10.727,,,0.12462,24885200896.0,57.07,30.943987,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
EPACK,EPACK Durable Limited,EPACK.NS,"Furnishings, Fixtures & Appliances",Consumer Cyclical,58.81542,35.96143,,2.5223699,75.66,,,0.02104,24223594496.0,53.276,58.81542,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
DIVGIITTS,Divgi Torqtransfer Systems Limited,DIVGIITTS.NS,Auto Parts,Consumer Cyclical,78.700905,29.942528,,3.9357193,0.262,,,0.12125,23900557312.0,63.568999999999996,31.902037999999997,,,overvalued_vs_industry,5,Forward PE improving; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
FMGOETZE,Federal-Mogul Goetze (India) Limited.,FMGOETZE.NS,Auto Parts,Consumer Cyclical,13.070417,,,1.738588,0.143,,,0.092819996,23646435328.0,78.132004,31.902037999999997,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
GMBREW,GM Breweries Limited,GMBREW.NS,Beverages - Wineries & Distilleries,Consumer Defensive,14.306023,16.836164,,2.3725517,0.124,,,0.091450006,23336990720.0,75.389,19.012415,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS,Confectioners,Consumer Defensive,6.523788,7.5291777,,0.7127451,16.971,,,0.096149996,22974621696.0,83.449996,15.731418999999999,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BEPL,Bhansali Engineering Polymers Limited,BEPL.NS,Chemicals,Basic Materials,12.4,14.381442,,1.9998088,,,,0.13137001,20886872064.0,63.11600000000001,23.193705,,,undervalued_vs_industry,5,PE favorable; Healthy margins; High insider/promoter proxy,Watchlist
APCOTEXIND,Apcotex Industries Limited,APCOTEXIND.NS,Specialty Chemicals,Basic Materials,22.981964,16.351768,,3.303358,23.281,,,0.05988,19275188224.0,61.441004,24.245389000000003,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
GEOJITFSL,Geojit Financial Services Limited,GEOJITFSL.NS,Capital Markets,Financial Services,19.719402,,,1.5787964,10.436,,,0.14557,18438805504.0,53.708999999999996,19.719402,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN.NS,Drug Manufacturers - Specialty & Generic,Healthcare,31.345371,,,5.207541,0.565,,,0.11652,17809674240.0,53.733003000000004,27.370273500000003,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS,Oil & Gas Equipment & Services,Energy,34.604427,,,5.79238,64.104,,,0.5536,17498003456.0,91.219,34.604427,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
GARUDA,Garuda Construction and Engineering Limited,GARUDA.NS,Engineering & Construction,Industrials,19.837837,,,4.4067144,0.023,,,0.22895001,17073160192.0,76.947,19.837837,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR.NS,Beverages - Wineries & Distilleries,Consumer Defensive,19.012415,16.949606,,2.660898,12.748,,,0.08528,16307395584.0,63.776999999999994,19.012415,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
DEEDEV,DEE Development Engineers Limited,DEEDEV.NS,Metal Fabrication,Industrials,19.386879,10.383332,,1.9142964,69.855,,,0.0758,15965892608.0,70.176005,21.357180999999997,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
